,accuracy
505,37.5
506,35.9375
507,7.8125
508,4.6875
509,21.875
510,17.1875
511,6.25
512,9.375
513,4.6875
514,46.875
515,21.875
516,31.25
517,20.3125
518,9.375
519,12.5
520,4.6875
521,12.5
522,6.25
523,15.625
524,1.5625
525,10.9375
526,10.9375
527,35.9375
528,29.6875
529,29.6875
530,26.5625
531,35.9375
532,17.1875
533,9.375
534,12.5
535,10.9375
536,10.9375
537,0
538,42.1875
539,29.6875
540,0
541,51.5625
542,3.125
543,39.0625
544,1.5625
545,53.125
546,9.375
547,28.125
548,21.875
549,14.0625
550,45.3125
551,20.3125
552,6.25
553,4.6875
554,32.8125
555,23.4375
556,21.875
557,17.1875
558,9.375
559,32.8125
560,40.625
561,6.25
562,12.5
563,0
564,0
565,10.9375
566,6.25
567,0
568,10.9375
569,6.25
570,0
571,4.6875
572,9.375
573,20.3125
574,17.1875
575,10.9375
576,23.4375
577,20.3125
578,15.625
579,6.25
580,15.625
581,21.875
582,6.25
583,0
584,31.25
585,1.5625
586,15.625
587,39.0625
588,14.0625
589,70.3125
590,25
591,15.625
592,48.4375
593,29.6875
594,15.625
595,9.375
596,3.125
597,6.25
598,6.25
599,23.4375
600,21.875
601,31.25
602,46.875
603,7.8125
604,1.5625
605,7.8125
606,26.5625
607,0
608,1.5625
609,25
610,29.6875
611,10.9375
612,17.1875
613,14.0625
614,1.5625
615,1.5625
616,3.125
617,28.125
618,28.125
619,25
620,7.8125
621,12.5
622,29.6875
623,1.5625
624,17.1875
625,3.125
626,0
627,15.625
628,6.25
629,12.5
630,23.4375
631,0
632,1.5625
633,43.75
634,18.75
635,14.0625
636,7.8125
637,9.375
638,14.0625
639,6.25
640,12.5
641,26.5625
642,9.375
643,7.8125
644,6.25
645,1.5625
646,6.25
647,0
648,17.1875
649,25
650,23.4375
651,7.8125
652,56.25
653,9.375
654,23.4375
655,9.375
656,18.75
657,54.6875
658,31.25
659,20.3125
660,35.9375
661,17.1875
662,25
663,29.6875
664,48.4375
665,54.6875
666,35.9375
667,4.6875
668,18.75
669,20.3125
670,34.375
671,12.5
672,0
673,15.625
674,12.5
675,39.0625
676,7.8125
677,15.625
678,7.8125
679,31.25
680,0
681,6.25
682,4.6875
683,10.9375
684,31.25
685,15.625
686,6.25
687,23.4375
688,29.6875
689,15.625
690,20.3125
691,0
692,17.1875
693,17.1875
694,4.6875
695,9.375
696,23.4375
697,3.125
698,26.5625
699,12.5
700,31.25
701,0
702,3.125
703,6.25
704,9.375
705,26.5625
706,34.375
707,4.6875
708,10.9375
709,7.8125
710,35.9375
711,42.1875
712,18.75
713,32.8125
714,3.125
715,6.25
716,17.1875
717,37.5
718,28.125
719,18.75
720,29.6875
721,10.9375
722,26.5625
723,23.4375
724,45.3125
725,4.6875
726,15.625
727,12.5
728,29.6875
729,21.875
730,17.1875
731,26.5625
732,50
733,37.5
734,65.625
735,20.3125
736,25
737,14.0625
738,18.75
739,14.0625
740,17.1875
741,15.625
742,31.25
743,15.625
744,3.125
745,29.6875
746,6.25
747,10.9375
748,15.625
749,3.125
750,7.8125
751,9.375
752,7.8125
753,14.0625
754,32.8125
755,21.875
756,3.125
757,10.9375
758,28.125
759,15.625
760,20.3125
761,1.5625
762,78.125
763,28.125
764,21.875
765,6.25
766,9.375
767,25
768,1.5625
769,43.75
770,51.5625
771,31.25
772,3.125
773,1.5625
774,10.9375
775,35.9375
776,59.375
777,21.875
778,40.625
779,3.125
780,7.8125
781,9.375
782,1.5625
783,23.4375
784,56.25
785,42.1875
786,17.1875
787,7.8125
788,4.6875
789,0
790,6.25
791,25
792,14.0625
793,9.375
794,7.8125
795,20.3125
796,7.8125
797,17.1875
798,0
799,25
800,9.375
801,17.1875
802,1.5625
803,10.9375
804,9.375
805,9.375
806,17.1875
807,7.8125
808,15.625
809,3.125
810,60.9375
811,14.0625
812,1.5625
813,39.0625
814,4.6875
815,12.5
816,1.5625
817,43.75
818,18.75
819,10.9375
820,1.5625
821,3.125
822,4.6875
823,7.8125
824,4.6875
825,3.125
826,18.75
827,7.8125
828,6.25
829,7.8125
830,0
831,21.875
832,3.125
833,3.125
834,12.5
835,10.9375
836,0
837,1.5625
838,25
839,26.5625
840,12.5
841,6.25
842,7.8125
843,6.25
844,4.6875
845,6.25
846,3.125
847,53.125
848,9.375
849,7.8125
850,17.1875
851,10.9375
852,7.8125
853,23.4375
